kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi
KISIM-1;;Birinci Kısım · Başlangıç Hükümleri;;0;;
KISIM-2;;İkinci Kısım · Bilgi Sistemlerine İlişkin Risk Yönetimi ve Kontrollerin Tesisi;;1;;
KISIM-2-B1;KISIM-2;Bilgi Sistemleri Yönetişimi;;2;;
KISIM-2-B2;KISIM-2;Bilgi Sistemleri Risklerinin Yönetilmesi;;3;;
KISIM-2-B3;KISIM-2;Bilgi Güvenliği Yönetimi;;4;;
KISIM-2-B4;KISIM-2;Sistem Geliştirme ve Değişiklik Yönetimi;;5;;
KISIM-2-B5;KISIM-2;Bilgi Sistemleri Sürekliliği ve Erişilebilirlik Yönetimi;;6;;
KISIM-2-B6;KISIM-2;Bilgi Sistemlerine İlişkin Dış Hizmet Alımı;;7;;
KISIM-2-B7;KISIM-2;Bilgi Sistemleri İç Kontrol ve İç Denetim Faaliyetleri;;8;;
KISIM-3;;Üçüncü Kısım · Elektronik Bankacılık Hizmetleri;;9;;
KISIM-4;;Dördüncü Kısım · Çeşitli ve Son Hükümler;;10;;
1;;Madde 1;;11;;
2;;Madde 2;;12;;
3;;Madde 3;;13;;
4;;Madde 4;;14;;
5;;Madde 5;;15;;
6;;Madde 6;;16;;
7;;Madde 7;;17;;
8;;Madde 8;;18;;
9;;Madde 9;;19;;
10;;Madde 10;;20;;
11;;Madde 11;;21;;
12;;Madde 12;;22;;
13;;Madde 13;;23;;
14;;Madde 14;;24;;
15;;Madde 15;;25;;
16;;Madde 16;;26;;
17;;Madde 17;;27;;
18;;Madde 18;;28;;
19;;Madde 19;;29;;
20;;Madde 20;;30;;
21;;Madde 21;;31;;
22;;Madde 22;;32;;
23;;Madde 23;;33;;
24;;Madde 24;;34;;
25;;Madde 25;;35;;
26;;Madde 26;;36;;
27;;Madde 27;;37;;
28;;Madde 28;;38;;
29;;Madde 29;;39;;
30;;Madde 30;;40;;
31;;Madde 31;;41;;
32;;Madde 32;;42;;
33;;Madde 33;;43;;
34;;Madde 34;;44;;
35;;Madde 35;;45;;
36;;Madde 36;;46;;
37;;Madde 37;;47;;
38;;Madde 38;;48;;
39;;Madde 39;;49;;
40;;Madde 40;;50;;
41;;Madde 41;;51;;
42;;Madde 42;;52;;
43;;Madde 43;;53;;
44;;Madde 44;;54;;
45;;Madde 45;;55;;
46;;Madde 46;;56;;
47;;Madde 47;;57;;
