kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi
AILE-01;;Endüstriyel Ağ Güvenliği;;0;;
EAG-1;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;;0;1;
EAG-2;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;;1;1;
EAG-3;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;;2;1;
EAG-4;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;3;2;
EAG-5;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;4;;
EAG-6;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;5;3;
EAG-7;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;6;3;
EAG-8;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;7;2;
EAG-9;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;8;2;
EAG-10;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;9;2;
EAG-11;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;10;;
EAG-12;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;11;2;
EAG-13;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;12;2;
EAG-14;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;13;2;
EAG-15;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;14;;
EAG-16;AILE-01;Politika, Prosedür, Süreç;;15;1;
EAG-17;AILE-01;Politika, Prosedür, Süreç;;16;1;
EAG-18;AILE-01;Endüstriyel Ağlarda Saldırı Tespiti/İzleme;;17;2;
EAG-19;AILE-01;Endüstriyel Ağlarda Saldırı Tespiti/İzleme;;18;3;
EAG-20;AILE-01;Endüstriyel Ağlarda Saldırı Kesme;;19;;
EAG-21;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;20;2;
EAG-22;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;21;2;
EAG-23;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;22;2;
EAG-24;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;23;2;
EAG-25;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;24;2;
EAG-26;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;25;2;
EAG-27;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;26;2;
EAG-28;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;27;;
EAG-29;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;28;3;
EAG-30;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;29;;
EAG-31;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;30;2;
EAG-32;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;31;1;
EAG-33;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;32;1;
EAG-34;AILE-01;Endüstriyel Ağa Uzak Erişim;;33;1;
EAG-35;AILE-01;Endüstriyel Ağa Uzak Erişim;;34;;
EAG-36;AILE-01;Endüstriyel Ağa Uzak Erişim;;35;2;
EAG-37;AILE-01;Endüstriyel Ağa Uzak Erişim;;36;2;
EAG-38;AILE-01;Endüstriyel Ağa Uzak Erişim;;37;2;
EAG-39;AILE-01;Endüstriyel Ağlarda Saldırı Tespiti/İzleme;;38;1;
EAG-40;AILE-01;Endüstriyel Ağlarda Güvenli Konfigürasyon;;39;2;
EAG-41;AILE-01;Endüstriyel Ağlarda Güvenli Konfigürasyon;;40;2;
EAG-42;AILE-01;Endüstriyel Ağlarda Saldırı Tespiti/İzleme;;41;2;
