kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi;kanit_beklentisi;dis_kontrol_id;kanit_tipi;kaynak_url;kaynak_yeri;erisim_tarihi;yururluk_tarihi;gereksinim_tipi
AILE-01;;Endüstriyel Ağ Güvenliği;;0;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği;2026-09-09;;
AILE-02;;Endüstriyel İstemci ve Sunucu Güvenliği;;1;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 02-İstemci ve Sunucu Güvenliği;2026-09-09;;
AILE-03;;Endüstriyel Tehdit ve Zafiyet Yönetimi;;2;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 03-Tehdit ve Zafiyet Yönetimi;2026-09-09;;
AILE-04;;Endüstriyel Siber Güvenlik Risk Yönetimi;;3;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 04-Endüstriyel Risk Yönetimi;2026-09-09;;
AILE-05;;Endüstriyel Varlık, Değişim ve Konfigürasyon Yönetimi;;4;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 05-Varlık ve Konfigürasyon;2026-09-09;;
AILE-06;;Endüstriyel Kimlik ve Erişim Yönetimi;;5;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 06-Kimlik ve Erişim Yönetimi;2026-09-09;;
AILE-07;;Endüstriyel Olay Yönetimi ve Süreklilik;;6;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 07-Olay Yönetimi ve Süreklilik;2026-09-09;;
AILE-08;;Akıllı Cihaz Güvenliği;;7;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 08-Akıllı Cihaz Güvenliği;2026-09-09;;
AILE-09;;Endüstriyel Operasyon Güvenliği;;8;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 09-Endüstriyel Operasyon Güv;2026-09-09;;
AILE-10;;İnsan Kaynakları Güvenliği;;9;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 10-İK Güvenliği;2026-09-09;;
AILE-11;;Fiziksel Güvenlik;;10;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 11-Fiziksel Güvenlik;2026-09-09;;
AILE-12;;Tedarikçi Yönetimi;;11;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 12-Tedarikçi Yönetimi;2026-09-09;;
AILE-13;;PLC Güvenliği;;12;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 13-PLC Güvenliği;2026-09-09;;
EAG-1;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) hizmet veren kontrol merkezlerinde yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalıdır. (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;13;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-1;2026-09-09;2024-09-08;Seviye 1
EAG-2;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde hizmet veren acil durum/yedek kontrol merkezinde yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalıdır. (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;14;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-2;2026-09-09;2024-09-08;Seviye 1
EAG-3;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Doğal gaz iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) hizmet veren RMS-A, CS, MS ve Hat vanası tipi uç istasyonlarda yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalı veya fiziksel güvenlik önlemleri ile yetkisiz erişimler engellenmelidir. (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;15;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-3;2026-09-09;2024-09-08;Seviye 2
EAG-4;AILE-01;Endüstriyel Ağa Erişim Kontrolleri;Ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) hizmet veren PS(Pompa İstasyonu) istasyonlarda yetkisiz kişi ve cihazların endüstriyel ağa girişi (Network Access) kısıtlanmalı veya fiziksel güvenlik önlemleri ile yetkisiz erişimler engellenmelidir. (Port security, kullanılmayan portların devre dışı bırakılması, fiziksel olarak kapatılması vb.) Bu kontroller hem kablolu hem de kablosuz ağlar için uygulanmalıdır.;16;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-4;2026-09-09;2024-09-08;Seviye 2
EAG-5;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS), kontrol merkezleri ve her türlü uç sahalarla olan haberleşmeler merkezi güvenlik duvarı (Referans_Topoloji_Doğal_Gaz_Ham_Petrol_İletim_SCADA: EKS-GD-01) üzerinden sağlanmalıdır. Bu güvenlik duvarı sadece endüstriyel ağların izolasyonu/ayrıştırılması için konumlandırılmalı ve KBS güvenlik duvarından farklı olmalıdır. Kullanılan güvenlik duvarı ilgili kuruluşun endüstriyel protokollerini desteklemelidir. (IEC 104, DNP3, MODBUSTCP vb.);17;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-5;2026-09-09;2024-09-08;Seviye 2
EAG-6;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemleri ana kontrol merkezi ve acil durum/yedek kontrol merkezi arasındaki haberleşmeler yukarıda adreslenen endüstriyel ağın izolasyonu/ayrıştırılması için kullanılan güvenlik duvarı (Referans_Topoloji_Doğal_Gaz_Ham_Petrol_İletim_SCADA: EKS-GD-01) üzerinden ve güvenli bir iletişim kanalı kullanılarak (IPsec vb.) sağlanmalıdır.;18;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-6;2026-09-09;2024-09-08;Seviye 2
EAG-7;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Doğal gaz ve ham petrol iletim endüstriyel kontrol sistemleri (EKS) kontrol merkezleri arasında Layer2 bağlantı olması durumunda, hem ana kontrol merkezi hem de acil durum/yedek kontrol merkezlerinde aynı ağ güvenlik kontrolleri uygulanıyor olmalıdır.;19;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-7;2026-09-09;2024-09-08;Seviye 2
EAG-8;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) endüstriyel ağlar ve harici ağlar arasındaki (güvensiz ağlar) haberleşmeler güvenlik duvarı (Referans_Topoloji_Doğal_Gaz_Ham_Petrol_İletim_SCADA: EKS-GD-01) üzerinden sağlanmalıdır. Bu güvenlik duvarı endüstriyel ağı izole eden güvenlik duvarıdır.;20;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-8;2026-09-09;2024-09-08;Seviye 2
EAG-9;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) farklı kontrol sistemleri ile iletim şebekesi altyapısı ile gerçekleştirilecek veri akışları hardwired kanallar üzerinden veya bir güvenlik katmanından geçirilerek sağlanmalıdır. (Referans_Topoloji_Doğal_Gaz_Ham_Petrol_İletim_SCADA: EKS-GD-01) (Bu kontrol, altyapı yenileme projeleri sırasında ya da bu düzenleme yürürlüğe girdiği andan itibaren kurulacak olan altyapılarda aranacaktır.);21;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-9;2026-09-09;2024-09-08;Seviye 2
EAG-10;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmantasyonu;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) uç sahalarla olan haberleşmeler için kullanılan endüstriyel protokollerde yetkisiz endüstriyel komutları durdurabilecek güvenlik cihazları (Referans_Topoloji_Doğal_Gaz_Ham_Petrol_İletim_SCADA: EKS-GD-01) konumlandırılmalıdır. (IEC-104, DNP3, MODBUSTCP protokolleri ile doğal gaz vana açma/kapama operasyonları vb.);22;;OPTIONAL;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-10;2026-09-09;2024-09-08;Ek kontrol
EAG-11;AILE-01;Politika, Prosedür, Süreç;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) endüstriyel ağlara ilişkin mantıksal topolojiler katmanlı güvenlik mimarisiyle tasarlanmalı ve uygun şekilde dokümante edilmelidir.;23;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-11;2026-09-09;2024-09-08;Seviye 1
EAG-12;AILE-01;Politika, Prosedür, Süreç;Doğal gaz ve ham petrol iletim şebekeleri endüstriyel kontrol sistemlerinde (EKS) endüstriyel ağlara ilişkin fiziksel topolojiler dokümante edilmelidir.;24;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=FBytIaXFpR8%3D;Ek-6 · 01-Endüstriyel Ağ Güvenliği · EAG-12;2026-09-09;2024-09-08;Seviye 1
