kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi;kanit_beklentisi;dis_kontrol_id;kanit_tipi;kaynak_url;kaynak_yeri;erisim_tarihi;yururluk_tarihi
BOLUM-1;;Birinci Bölüm · Başlangıç Hükümleri;;0;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · Birinci Bölüm;2026-09-09;
1;BOLUM-1;Amaç;"(1) Bu Yönetmeliğin amacı; enerji sektöründe kullanılan endüstriyel kontrol sistemlerinin siber güvenliğini sürekli olarak gelişen ihtiyaç ve tehditlere göre iyileştirmeye, asgari kabul edilebilir güvenlik seviyesini tanımlamaya ve bu kontrol sistemlerinin siber dayanıklılığına, yeterliliğine ve olgunluğuna ilişkin usul ve esasları düzenlemektir.";1;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 1;2026-09-09;2023-06-06
2;BOLUM-1;Kapsam;"(Değişik:RG-28/1/2024-32443)
(1) Bu Yönetmelik; elektrik iletim lisansı sahibi, elektrik dağıtım lisansı sahibi, kabulü yapılmış ve işletmedeki kurulu gücü 100 MWe ve üzeri lisansa sahip her bir elektrik üretim tesisi sahibi, boru hattı ile iletim yapan doğal gaz iletim lisansı sahibi, sevkiyat kontrol merkezi kurmakla yükümlü doğal gaz dağıtım lisansı sahibi, doğal gaz depolama lisansı sahibi (LNG, yer altı), ham petrol iletim lisansı sahibi ile rafinerici lisansı sahibi tüzel kişilerin endüstriyel kontrol sistemlerinin güvenliğinin ve güvenilirliğinin sağlanmasına ilişkin uygulanacak hükümleri kapsar.
(2) Kabulü yapılmış, Black-Start özelliğine sahip olup ulusal şebekeye katkı verebilecek olan elektrik üretim tesisi sahibi tüzel kişiler, bu Yönetmelik kapsamındadır.
(3) Kabulü yapılmış, TEİAŞ SCADA/EMS Sistemi ile seri tabanlı iletişim yöntemlerini kullanmadan haberleşmekte olan elektrik üretim tesisi sahibi tüzel kişiler, bu Yönetmelik kapsamındadır.
(4) OSB dağıtım lisansı sahipleri ile OSB üretim lisansı sahipleri kapsam dışındadır.";2;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 2;2026-09-09;2024-01-28
3;BOLUM-1;Dayanak;"(1) Bu Yönetmelik; 20/2/2001 tarihli ve 4628 sayılı Enerji Piyasası Düzenleme Kurumunun Teşkilat ve Görevleri Hakkında Kanunun 5 inci, 5/A ve 5/B maddelerine dayanılarak hazırlanmıştır.";3;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 3;2026-09-09;2023-06-06
4;BOLUM-1;Tanımlar;"(1) Bu Yönetmelikte geçen;
a) Başkan: Enerji Piyasası Düzenleme Kurumu Başkanını,
b) Bilgi ve İletişim Güvenliği Rehberi: Cumhurbaşkanlığı Dijital Dönüşüm Ofisi tarafından yayımlanan ve bünyesinde bilgi işlem birimi barındıran veya bilgi işlem hizmetlerini sözleşmeler çerçevesinde üçüncü taraflardan alan, Devlet teşkilatı içerisinde yer alan kurum ve kuruluşlar ile kritik altyapı hizmeti veren işletmeler tarafından uyulması gereken bilgi ve iletişim güvenliği tedbirlerini içeren rehberi,
c) Bilgi ve İletişim Güvenliği Denetim Rehberi: Cumhurbaşkanlığı Dijital Dönüşüm Ofisi tarafından hazırlanan ve Bilgi ve İletişim Güvenliği Rehberi çalışmalarının denetim usul ve esaslarını tanımlayan rehberi,
ç) Endüstriyel kontrol sistemi (EKS): Enerjinin üretilmesi, enerji sağlayan ham petrol, taş kömürü ve benzeri hammaddelerin işlenip tüketime hazır hale getirilmesi, enerjinin iletim veya dağıtım katmanları aracılığı ile aktarılması gibi süreçlerin bir veya birden fazla merkezden izlenmesini, bazen de yönetilmesini sağlayan, kendisi ve/veya bileşenleri bilinen işletim sistemleri üzerinde çalışan ya da bilinen zafiyetleri bulunan özel işletim sistemine sahip yönetim ve kontrol sistemlerini (Veri Tabanlı Kontrol ve Gözetleme Sistemi “SCADA”, Dağıtılmış Kontrol Sistemi “DKS”, Gelişmiş Süreç Kontrol Sistemi “APC”, Programlanabilir Mantık Kontrolcüsü “PLC”, Uzak Terminal Ünitesi “RTU” ve benzeri),
d) İlgili mevzuat: Enerji piyasasına ilişkin kanun, yönetmelik, tebliğ, genelge, lisans ve Kurul kararlarını,
e) Kanun: 20/2/2001 tarihli ve 4628 sayılı Enerji Piyasası Düzenleme Kurumunun Teşkilat ve Görevleri Hakkında Kanunu,
f) Kritik Altyapılar Ulusal Test Yatağı Merkezi: Sakarya Üniversitesi bünyesinde kurulan kritik enerji altyapılarının modellenmesi ve güvenliği ile ilgili koruyucu ve önleyici çözümlerin araştırılması ve geliştirilmesi amacıyla kurulan merkezi,
g) Kurul: Enerji Piyasası Düzenleme Kurulunu,
ğ) Kurum: Enerji Piyasası Düzenleme Kurumunu,
h) Yükümlü kuruluş: 2 nci maddede tanımlanan sorumlu tüzel kişileri,
ı) (Ek:RG-28/1/2024-32443) Black-Start: Bir elektrik santralinin veya bir elektrik şebekesinin bir bölümünün, tamamen veya kısmen kapandığında, harici elektrik güç iletim şebekesinin desteği olmadan yeniden başlatılmasını,
i) (Ek:RG-28/1/2024-32443)EMS: Enerji yönetim sistemini,
j) (Ek:RG-28/1/2024-32443) Seri tabanlı iletişim: Veri aktarımında bir iletişim kanalı veya bilgisayar veriyolu üzerinden sırayla, her seferinde bir bit veri gönderme işlemini,
k) (Ek:RG-25/11/2025-33088) CISA: Sertifikalı Bilgi Sistemleri Denetçisini,
l) (Ek:RG-25/11/2025-33088) IAF: Uluslararası Akreditasyon Forumunu,
ifade eder.
(2) Bu Yönetmelikte geçen ve birinci fıkrada yer almayan tanım ve kısaltmalar için ilgili mevzuatta yer alan tanım ve kısaltmalar geçerlidir.";4;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 4;2026-09-09;2023-06-06
BOLUM-2;;İkinci Bölüm · İlişkili Düzenlemeler, Yetkinlik Modeli Ana Kontrolleri, Yetkinlik Seviyeleri, Sektörel Kritiklik Derecesi Belirleme;;5;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · İkinci Bölüm;2026-09-09;
5;BOLUM-2;İlişkili düzenlemeler;"(1) Yetkinlik modeli, aşağıda listelenen düzenleme ve uyumluluk gereksinimlerini adresler:
a) Bilgi ve İletişim Güvenliği Rehberi: Yükümlü kuruluşlar, bilgi sistemleri altyapı uyumluluğu için Cumhurbaşkanlığı Dijital Dönüşüm Ofisi tarafından hazırlanan bu rehberi referans alır.
b) Enerji Sektöründe Kullanılan Endüstriyel Kontrol Sistemleri İçin Güvenlik Analiz ve Test Usul ve Esasları: Yetkinlik modeli, bu Kurul kararına uyumluluk usul ve esaslarını kapsar.
c) TS ISO/IEC 27001: Yetkinlik modeli kapsamında TS ISO/IEC 27001 uyumluluğunun devamı sağlanır. Modele kapsayıcı ve EKS odaklı yeni kontroller eklenmiştir.
ç) TS EN ISO/IEC 27019: Yetkinlik modeli kapsamına EKS odaklı yeni kontroller eklenmiştir.
d) Enerji sektöründe EKS güvenlik kontrolleri: Yetkinlik modeli kapsamında bu dokümanda yer alan kontroller kapsamlı olarak ele alınır.";6;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 5;2026-09-09;2023-06-06
6;BOLUM-2;Yetkinlik modeli ana kontrol başlıkları;"(1) Yetkinlik modeli, enerji alt sektörleri özelinde farklılık göstermekle birlikte aşağıda listelenen başlıklardan oluşur:
a) Endüstriyel ağ güvenliği; endüstriyel altyapılar için yerel ağ güvenliği, geniş alan ağı güvenliği, iletişim güvenliği, protokol güvenliği, kablosuz ağ güvenliği, entegrasyon güvenliği kontrollerini içerir.
b) Endüstriyel istemci ve sunucu güvenliği; endüstriyel altyapıda yer alan tüm istemci ve sunuculara ilişkin mantıksal ve fiziksel güvenlik kontrollerini içerir.
c) Endüstriyel tehdit ve zafiyet yönetimi; endüstriyel altyapılarda uygulanan tehdit ve zafiyet yönetimi kontrollerini içerir.
ç) Endüstriyel siber güvenlik risk yönetimi; endüstriyel altyapının dinamiklerine uygun endüstriyel siber güvenlik risk yönetimi kontrollerini içerir.
d) Endüstriyel varlık, değişim ve konfigürasyon yönetimi; endüstriyel altyapılarda bulunan varlıkların yönetimi, bileşenlerin değişim ve konfigürasyon yönetimi kontrollerini içerir.
e) Endüstriyel kimlik ve erişim yönetimi; endüstriyel altyapıda bulunan bileşenler için kimlik ve erişim yönetimi kontrollerini içerir.
f) Endüstriyel olay yönetimi ve süreklilik; endüstriyel siber güvenlik olay yönetimi, süreklilik, yedekleme ve yedeklilik kontrollerini içerir.
g) Akıllı cihaz güvenliği; sayaç ve nesnelerin interneti teknolojisinin kullanıldığı endüstriyel altyapılar için güvenlik kontrollerini içerir.
ğ) Endüstriyel operasyon güvenliği; endüstriyel operasyon güvenliğine yönelik kontrolleri içerir.
h) İnsan kaynakları güvenliği; kritik enerji altyapılarında çalışan tüm personel için istihdam öncesi, sırası ve sonrasında uygulanması gereken kontrolleri içerir.
ı) Fiziksel güvenlik; endüstriyel altyapıların sektörlerine uygun, dağıtık veya tekil yapıdaki fiziksel ortamların güvenlik kontrollerini içerir.
i) Tedarikçi yönetimi; endüstriyel altyapılar için teknoloji, insan ve altyapı tedarikçilerine ilişkin siber güvenlik kontrollerini içerir.
j) PLC güvenliği; PLC güvenliğine ilişkin güvenlik kontrollerini içerir.
(2) Her bir ana kontrol başlığı kendi içerisinde alt kontrol başlıklarına bölünerek ele alınır.";7;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 6;2026-09-09;2023-06-06
7;BOLUM-2;Yetkinlik seviyeleri;"(1) Yetkinlik modeli kapsamında üç temel yetkinlik seviyesi bulunmakta olup yükümlü kuruluşların sahip olmaları gereken yetkinlik seviyesi, Kurum tarafından belirlenen sektörel kritiklik dereceleri ile tespit edilir. Her bir seviye için açıklamalar aşağıdaki şekildedir:
a) Seviye 1: Giriş seviyesi kontroller, bu seviyede yer alır. İlgili kontrollerin hali hazırda uygulandığı ya da kolayca uygulanabileceği değerlendirilen maddeler bu seviyede toplanır. Bu seviyede yer alan maddeleri, hedeflenen tamamlama süresinde uygulamak zorunludur.
b) Seviye 2: İkinci aşama kontroller, bu seviyede yer alır. İlgili kontrollerin uygulanabilmesi için yükümlü kuruluş sistemlerinde veya süreçlerinde değişiklik yapılmasını gerektiren maddeler bu seviyede toplanır. Bu seviyede yer alan maddeleri, hedeflenen tamamlama süresinde uygulamak zorunludur.
c) Seviye 3: Üçüncü seviye kontroller, bu seviyede yer alır. Bu seviyede yer alan kontroller yeni bir projelendirme ya da uzun soluklu değişim gerektirir. Bu seviyede yer alan maddeleri, hedeflenen tamamlama süresinde uygulamak zorunludur.
ç) Ek kontrol: Zorluk derecesi yüksek ya da uygulanması faydalı olabileceği değerlendirilen kontroller, bu seviyede toplanmış olup uygulanması zorunlu değildir.
(2) Her bir seviyede yer alan kontrollerin uygulanması için hedeflenen tamamlama süresi; enerji alt sektörlerine göre farklılık göstermekte olup bu Yönetmelik eklerinde yer alan sektörel yetkinlik modeli dokümanlarında açıklanır.
(3) Üç yıllık periyotlarda, Kurum tarafından yapılacak güncellemeler ile kontrol maddeleri ve kontrol maddeleri için tespit edilen yetkinlik seviyeleri değiştirilebilir.";8;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 7;2026-09-09;2023-06-06
8;BOLUM-2;Sektörel kritiklik derecesi belirleme;"(1) Yükümlü kuruluşların zorunlu olarak gerçekleştirmeleri gereken kontrol maddeleri belirlenirken aşağıdaki tablolarda yer alan sınıflandırma kullanılır:
Sektör
Asgari Seviye
Kritiklik Derecesi
Elektrik Dağıtım
Seviye 2
Yükümlü kuruluşa özel
Doğal Gaz Dağıtım
Seviye 1
Yükümlü kuruluşa özel
(Ek satır:RG-28/1/2024-32443) Elektrik Üretim
Seviye 1
Yükümlü kuruluşa özel
(Ek satır:RG-28/1/2024-32443) Rafineri
Seviye 3
Yükümlü kuruluşa özel
(Ek satır:RG-8/9/2024-32656) Doğal Gaz Depolama
Seviye 1
Yükümlü kuruluşa özel
(Ek satır:RG-8/9/2024-32656) Doğal Gaz ve Ham Petrol İletim
Seviye 3
Yükümlü kuruluşa özel
(Ek satır:RG-8/9/2024-32656) Elektrik İletim
Seviye 3
Yükümlü kuruluşa özel
Kritiklik Derecesi
Açıklama
Asgari Seviye
A Sınıfı
İlgili sektörde kritiklik derecesi en yüksek olan yükümlü kuruluşların sınıfını ifade eder.
Seviye 3
B Sınıfı
İlgili sektörde kritiklik derecesi orta olan yükümlü kuruluşların sınıfını ifade eder.
Seviye 2
C Sınıfı
İlgili sektörde kritiklik derecesi beklenen seviyede olan yükümlü kuruluşların sınıfını ifade eder.
Seviye 1
(2) Birinci fıkrada yer alan tablolardaki sınıflandırma, sektörün asgari yetkinlik seviyesi ve sektörde yer alan yükümlü kuruluşların kritiklik derecesinden oluşur. Asgari seviye parametresi, sektörel olarak belirlenmekte olup yükümlü kuruluşlar bu seviyeye uyumlu hareket eder. Kritiklik derecesi ise Kurumca çeşitli parametreler kullanılarak belirlenmekte olup belirlenen kritiklik derecelerine göre uygulanan asgari kontrol maddelerine yeni kontroller eklenebilir.
(3) Sektörlerin kritiklik derecelendirmesinde kullanılan parametreler, Kurum tarafından üç yıllık periyotlarda güncellenebilir, bu periyotların sonunda yapılan değerlendirmelerde yükümlü kuruluşların kritiklik dereceleri değişebilir.";9;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 8;2026-09-09;2023-06-06
